Match Group,Set,Target,Race,Gender,Age,Attractive,Luminance_median,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
1,A,AF-236,A,F,37.66666667,3.666666667,174.5,27,1,0,0.925925926,0,0.037037037,0.037037037,0,0,1.703703704,2.555555556,1.666666667,1.615384615,2.592592593,5,1.777777778,1.481481481,3.872340426,2.111111111,.,1.333333333,1.666666667,3.925925926,1.62962963,222.5,299.5,118.5,1201.5,65,63.5,64.25,141.5,143.5,142.5,603.5,440,487,492,493.5,1.5,412.5,405,7.5,169.5,480.5,479.5,480,371,375.5,0.502288806,1.371590909,0.742904841,0.098626717,0.450877193,0.053474823,0.405326675,0.34019975,0.141073658,0.31065335,0.399500624,163.5,0.366208906,1.668719212
1,B,AF-214,A,F,26.84615385,3.730769231,176,26,1,0,1,0,0,0,0,0,2.038461538,2.5,3.153846154,2.08,2.384615385,5.08,2.32,1.730769231,3.787234043,2.230769231,.,1.576923077,1.923076923,3.923076923,2.653846154,208.5,220.5,122,1034,48.5,44,46.25,130.5,134.5,132.5,613.5,509.5,453,433.5,438,4.5,353.5,348.5,5,131.5,406,399,402.5,340,343,0.593326886,1.204121688,0.945578231,0.117988395,0.349056604,0.044729207,0.438104449,0.339458414,0.127176015,0.330270793,0.38926499,104,0.492746615,1.999155516
1,C,AF-217,A,F,19.70833333,3.833333333,179,24,1,0,0.208333333,0,0.208333333,0.375,0,0.208333333,1.875,1.333333333,4.125,1.695652174,1.739130435,4.833333333,2.583333333,1.416666667,1.510638298,2.782608696,.,1.666666667,1.333333333,3.5,2.125,238.5,203.5,110.5,1144,57,55.5,56.25,157.5,160.5,159,645.5,572.5,505,485.5,484,1.5,350.5,356.5,6,179.5,425,417,421,353.5,333.5,0.564248252,1.127510917,1.171990172,0.096590909,0.353773585,0.04916958,0.441433566,0.309003497,0.156905594,0.300262238,0.368006993,73,0.500437063,1.863499216
1,D,AF-254,A,F,37.12,3.84,156.5,25,1,0,0.92,0,0.08,0,0,0,1.708333333,2.333333333,2,1.84,2.24,5.4,2.56,1.36,2.765957447,2.04,.,1.76,1.8,3.4,2.16,206.5,261.5,97,1110.5,56.5,53.5,55,151,150,150.5,614,460.5,445.5,450.5,434,16.5,390.5,395,4.5,173.5,421,430.5,425.75,346,336.5,0.552904097,1.333333333,0.789674952,0.087348041,0.365448505,0.04952724,0.401170644,0.353669518,0.15623593,0.307294012,0.383385862,153.5,0.414678073,1.80849344
2,D,AF-234,A,F,24.2962963,3.185185185,172,27,0.925925926,0.074074074,0.518518519,0,0.333333333,0.074074074,0.074074074,0,2.296296296,2.192307692,3.259259259,2.148148148,2.37037037,4.518518519,2.37037037,2.115384615,2.29787234,2.846153846,.,1.777777778,2.111111111,3.777777778,2.111111111,267.5,244.5,130,1085,54.5,50.5,52.5,153.5,147.5,150.5,599.5,538,386,390,384.5,5.5,371,377,6,187.5,471,477,474,287,275.5,0.552534562,1.114312268,1.09406953,0.119815668,0.348837209,0.048387097,0.355760369,0.344700461,0.17281106,0.25921659,0.436866359,61.5,0.495852535,1.915137615
2,C,AF-204,A,F,30.13793103,3.172413793,168.5,29,1,0,0.827586207,0,0.068965517,0.103448276,0,0,2.551724138,1.586206897,2.068965517,1.655172414,1.75862069,4.62962963,1.275862069,1.482758621,2.574468085,3.517241379,.,1.137931034,1.206896552,3.310344828,1.517241379,252.5,257.5,100,1179,66,60,63,150,141.5,145.75,679,605.5,517.5,475.5,480,4.5,335,356,21,212.5,433,444,438.5,339,354,0.57591179,1.121387283,0.980582524,0.084817642,0.432246998,0.053435115,0.438931298,0.293044953,0.180237489,0.29389313,0.37192536,73.5,0.513570823,1.935782576
2,B,AF-208,A,F,28.53846154,3.038461538,135.5,26,1,0,0.230769231,0.115384615,0.384615385,0.230769231,0.038461538,0,2,2.846153846,2.653846154,2.115384615,3.461538462,3.576923077,1.653846154,2.115384615,1.553191489,2.769230769,.,1.615384615,2.32,3.192307692,2.307692308,240.5,211.5,86.5,1164.5,67.5,66.5,67,154.5,157,155.75,692.5,642.5,499.5,454,469,15,349,340,9,250,451,439,445,324.5,348,0.594675827,1.077821012,1.137115839,0.074280807,0.430176565,0.057535423,0.428939459,0.295835122,0.214684414,0.288750537,0.382138257,50,0.551738944,2.05312046
2,A,AF-225,A,F,22.14285714,3.034482759,174.5,29,1,0,0.965517241,0,0,0,0.034482759,0,2.482758621,2.142857143,2.793103448,2,1.931034483,4.655172414,2.034482759,1.655172414,3.565217391,3.275862069,.,1.586206897,1.551724138,3.535714286,1.75862069,233,217.5,119,1123,50.5,51,50.75,137.5,144,140.75,611.5,511,482.5,486.5,483,3.5,349,344,5,176.5,417,422,419.5,352.5,359.5,0.544523598,1.19667319,1.071264368,0.105966162,0.360568384,0.045191451,0.429652716,0.308548531,0.157168299,0.317008014,0.373552983,100.5,0.455031167,1.984853906
3,A,AM-238,A,M,27.42307692,3.12,175,26,0,1,0.961538462,0,0,0,0,0.038461538,2.153846154,2.64,2.269230769,2.038461538,3.153846154,1.769230769,2.038461538,4.291666667,4.255813953,2.730769231,.,1.961538462,2.269230769,3.576923077,2.153846154,238,236,106.5,1112,46.5,46,46.25,151.5,152.5,152,634,485.5,402.5,387,385,2,394,399.5,5.5,217.5,495,492.5,493.75,278,278.5,0.570143885,1.305870237,1.008474576,0.095773381,0.304276316,0.041591727,0.361960432,0.356789568,0.195593525,0.25022482,0.444019784,148.5,0.436600719,1.570000782
3,B,AM-218,A,M,33.59259259,3.214285714,162.5,28,0,1,0.785714286,0,0.107142857,0.071428571,0,0.035714286,1.25,1.357142857,1.964285714,1.535714286,2.357142857,1.25,2.857142857,4.148148148,3.023255814,1.392857143,.,1.464285714,1.392857143,3.464285714,1.642857143,277,241,129,1079.5,53,55,54,162,160.5,161.25,643,546.5,360.5,397.5,401,3.5,392.5,391,1.5,190,449,459,454,295,305.5,0.595646132,1.176578225,1.149377593,0.119499768,0.334883721,0.050023159,0.333950903,0.362899491,0.176007411,0.278138027,0.420565076,96.5,0.506252895,1.797707935
